pricing_policy,avg_pnl_delta_usd,avg_stress_delta_pct,avg_acceptance_delta_pct,avg_spread_delta_bps
inventory_aware,"5,343.98",-9.53,-7.28,11.54
platform,"4,694.6",-6.74,-5.15,8.14
